anime_name,anime_review
Ледяные кости,—
Господин и пёс,—
Ранма 1/2 (2024),—
Рон Камонохаси: Невменяемый детектив 2,"9,1"
"Целитель, которого исключили из группы, оказался сильнейшим!","7,5"
Башня Бога: Битва при Мастерской,"9,1"
Блич: Тысячелетняя кровавая война — Конфликт,"9,4"
MF Призрак 2,"9,1"
Пуниру — милая слизь,—
Рубеж Шангри-Ла: Любитель игрошлака бросает вызов топ-игре 2,"9,3"
"История о девушке, которая не могла стать волшебницей",—
Бродяга Кэнсин: Беспорядки в Киото,"9,0"
Негативный позитивный рыбак,"8,8"
Грибной щенок,—
Любовь Мураи,"8,3"
Идолмастер: Блестящие цвета 2,—
Семь смертных грехов: Четыре всадника Апокалипсиса 2,"7,1"
Синий экзорцист: За снегом,"8,5"
"Я стану злодейкой, которая войдёт в историю","8,0"
Я стал учителем в школе монстров!,"6,2"
Нина в королевстве звёзд,"8,2"
Плохая поездка,—
Перерождение в аристократа со способностью анализа 2,"7,8"
Плачущий призрак на пенсии,"8,4"
"Ханако, призрак с внеклассными историями. Часть 2",—
"Король демонов, попытайтесь снова! R","5,1"
Избрание божества 2,—
"Может, я встречу тебя в подземелье? 5","9,0"
Живая любовь! Суперзвезда!! 3,—
Мастера Меча Онлайн: Альтернативная «Призрачная пуля» 2,"7,2"
Механические руки,"7,9"
Мифический дух: Хроники 2,"8,7"
О движении Земли,"9,3"
Игра на триллион,"8,3"
Синие Мибуро,—
Брачные узы с семьёй Амагами,"7,4"
Повелитель демонов 2099,"8,6"
Арифурэта: Сильнейший ремесленник в мире 3,"8,6"
Самый известный диктор создаёт самый великий в мире клан,"8,7"
"Прощай, жизнь дракона. Здравствуй, жизнь человека","7,9"
Кэнган Асура 2. Часть 2,"8,5"
"Старик, перевоплотившийся в кота",—
Нападение одиночки на иной мир,"7,1"
Ты — горничная,"8,5"
Голубая шкатулка,"9,1"
Этот глупый свин не понимает мечту девушки с рюкзаком,"9,2"
Дандадан,"9,5"
Компания «Маги-Люмьер»,—
Незнакомцы в другой жизни,"8,9"
"История о том, как я пришёл на вечеринку, а там не было ни одной женщины","7,6"
Вы правда женитесь?,"7,9"
Если бы моя жена стала младшеклассницей,"7,6"
Re: Жизнь в альтернативном мире с нуля 3,"9,3"
Терминатор: Зеро,"7,5"
"На этот раз одержи победу над императором драконов, благородная девушка!","8,9"
Спираль,"7,5"
Ария: Природа,—
Детская Делико,"8,0"
Достучаться до тебя 3,"8,9"
Истинная красота,"7,3"
Моя реинкарнация в отомэ-игре в качестве главной злодейки. Фильм,"8,1"
Нарэнарэ: Болеем за вас!,"6,1"
Ёко из Сэнгоку: Тысяча демонов хаоса,"7,3"
"Последнее поле брани между тобой и мной, или Святая война сотворения мира 2","8,1"
Цикл историй: Межсезонье и сезон монстров,"8,7"
"Моя подруга-олениха, Нокотан","7,7"
Мёртвые-мёртвые демоны ONA: Эпизод 0,"8,1"
Мёртвые-мёртвые демоны ONA,"8,4"
Меч и жезл Вистории,"8,6"
Полуночный удар,"7,9"
Тасукэцу,"5,9"
"Я стал самым сильным с провальным навыком «ненормальное состояние», я разрушу всё","7,4"
Маленький гражданин,"8,2"
От простого человека до героя-разведчика,"6,0"
Стесняшка 2,"4,7"
Слишком много проигравших героинь!,"8,6"
Ниер: Автомата — Версия 1.1а. Часть 2,"8,9"
Приключения в другом мире: Воспитывать детей будучи авантюристом,"7,4"
Рамэнная рыжего кота,"8,2"
Волшебница и злой офицер,"8,4"
"Я парировал всё время, чтобы стать сильнейшим авантюристом","7,7"
Магическая ремесленница Далия не унывает!,"7,5"
Люди подземелья,"7,9"
У моей жены нет эмоций,"7,4"
Грендайзер U,"5,3"
Почему все забыли мой мир?,"7,0"
Любовь неделима между близнецами,"6,4"
Звёздное дитя 2,"9,2"
Отряд самоубийц из другого мира,"7,6"
Терраса кафе богинь 2,"8,5"
Псевдогарем,"8,7"
"Невероятный новичок средних лет, прошедший тренировки на грани смерти","8,3"
Сильнейшим магом армии демонов был человек,"7,1"
Моя сэмпай — парень?,"6,5"
Код Гиас: Вернувшийся Розе,"4,8"
Юный лорд — мастер побега,"8,8"
"Витубер: Я стала популярной после того, как забыла выключить стрим","6,9"
Атри: Мои дорогие моменты,"8,5"
Жизнь с моей сводной сестрой,"7,6"
Башня Бога 2,"8,3"
Дисквалифицирован по жизни,"8,5"
Этот мир слишком несовершенен,"7,3"
Аля иногда кокетничает со мной по-русски,"8,6"
Человек-мускул,"4,3"
"Соблазн 2,5-мерного измерения","7,8"
Аватар короля 3,"7,3"
"Пока-пока, Земля","7,1"
Хроники людей и демонов,—
"Звучи, эуфониум! Соревнование ансамблей","7,2"
Новые врата,"7,5"
Борьба в прямом эфире,"8,7"
Моя геройская академия: Воспоминания,"5,7"
Записи «Астро»,"6,2"
Салатница чудаков,"7,9"
Плач девичьей группы,"7,4"
Ринкай!,"4,4"
Медуза не умеет плавать в ночи,"8,7"
Синий архив,"6,6"
Беззаботная жизнь в ином мире с читерскими способностями со второго уровня,"7,7"
"Студия, солнечная сторона, есть ангел","7,5"
"Мистика, юные девы и загадочное исчезновение","8,3"
"Перевоплотился в седьмого принца, так что я буду совершенствовать свою магию, как захочу","8,2"
Лагерь на свежем воздухе 3,"8,3"
Куда едет поезд судного дня?,"8,2"
Фабрика иллюзий Алисы и Терезы,"8,5"
Рандеву с жизнью 5,"8,6"
Танец мечей: Пылающий Хоннодзи,"5,2"
Мой сосед-ёкай,"8,2"
Непутёвый ученик в школе магии 3,"7,8"
Идолмастер: Блестящие цвета,"4,8"
Вампирское общежитие,"6,8"
Смертоносный герцог и его чёрная горничная 3,"8,6"
"Я, владыка демонов, взял эльфийку-рабыню в жёны. И как же мне её любить?","8,3"
Богиня жаждет игр,"6,7"
Бармен: Бокал бога,"8,6"
Безымянная память,"8,2"
Ворон не выбирает господина,"8,9"
Перерождение: Монстр,"7,8"
"История о дедушке и бабушке, которые снова стали молодыми","8,6"
Забвение бэттери,"8,1"
Моя геройская академия 7,"8,0"
Тёмный дворецкий: Школа-интернат,"8,9"
Басня,"9,3"
"Бывший герой, которого прозвали неудачником и выгнали из дома, решил жить самостоятельно","4,7"
Любовная лихорадка,"7,8"
Непризнанный школой владыка демонов 2. Часть 2,"7,2"
Волчица и пряности: Торговец встречает мудрую волчицу,"8,9"
Перерождение в аристократа со способностью анализа,"7,8"
"Клинок, рассекающий демонов: Тренировка столпов","9,2"
Реинкарнация безработного: История о приключениях в другом мире 2. Часть 2,"9,0"
Ветролом,"8,7"
Мой счастливый брак: Форма моего счастья,"8,5"
О моём перерождении в слизь 3,"8,7"
Операция: Семейка Ёдзакура,"8,4"
Этот замечательный мир! 3,"9,1"
Боевой отряд «Полный провал»,"7,6"
Дефрагментация! OVA,"7,7"
Дефрагментация!,"8,2"
Кайдзю номер восемь,"9,4"
"Звучи, эуфониум! 3","8,3"
Безоблачное завтра,"8,4"
Психопаспорт: Провидение,"8,7"
Ария,"8,1"
Достучаться до тебя 2,"8,8"
Ниндзя Камуи,"8,0"
Дропкик злого духа: Конец века,"6,1"
Другая сторона сэйю на радио,"7,7"
Взрывной храбрец Брэйверн,"5,9"
Самураи эпохи Мэйдзи: 1874,"7,6"
Повседневная жизнь бессмертного короля 4,"8,3"
Буттигири?!,"7,9"
Этот глупый свин не понимает мечту сестры на прогулке,"8,7"
Бар «Снэк Басуэ»,"6,6"
Кэйон!! План!,"8,8"
Неразумный ангел в танце с демоном,"7,5"
Опасность в моём сердце: Тви-Яба,"8,5"
Опасность в моём сердце 2,"9,1"
Кэйон в кино!,"9,0"
Кэйон!!,"9,1"
Кэйон! Лайв Хаус,"8,9"
Кэйон!,"9,1"
Семь смертных грехов: Недовольство Эдинбурга. Часть 2,"3,3"
Ёрмунганд 2: Идеальный порядок,"9,2"
Ведьма и чудовище,"9,0"
Ёрмунганд,"9,0"
Моя девушка и подруга детства часто ссорятся,"7,4"
Притворная любовь 2 OVA,"7,3"
Притворная любовь OVA,"8,0"
Притворная любовь 2,"8,1"
Притворная любовь,"8,1"
Сага о Гуине,"7,3"
История покорения знаменитого горячего источника в другом мире: Реинкарнация сорокалетнего любителя горячих источников в умиротворяющем курортном раю,"3,9"
Сильнейший танк покоряет подземелья,"6,8"
Синдуальность: Нуар. Часть 2,"8,6"
Принц демонов дома Момоти,"7,5"
Псевдонаучный ежемесячник,"5,6"
Злодейка наслаждается своей седьмой жизнью в качестве свободолюбивой невесты во вражеской стране,"8,5"
Ёко из Сэнгоку,"7,4"
Любовь с кончиков пальцев,"9,2"
Магия и мускулы 2,"9,0"
Старшая карта 2,"8,2"
Несносные пришельцы (2024),"8,4"
"Время пыток, принцесса!","6,7"
Металлическая Руж,"7,4"
Король огненной охоты 2,"7,1"
Королева со скальпелем,"8,3"
"Злодейка девяносто девятого уровня: «Я босс, но не король демонов»","8,2"
Исюра,"6,7"
Выходной Господина Злодея,"8,3"
Сказание об обручальных кольцах,"6,6"
Подземелье вкусностей,"9,3"
"Я делаю всё возможное, чтобы чувствовать себя как дома в другом мире","8,0"
Легенда о Тибе,"6,5"
Синий экзорцист: Сага об «Иллюминатах» Симанэ,"8,0"
Поднятие уровня в одиночку,"9,3"
Другой мир не может противостоять силе мгновенной смерти,"7,4"
Нежеланно бессмертный авантюрист,"8,9"
Раб спецотряда демонического города,"7,6"
Неправильный способ использования исцеляющей магии,"8,6"
Слабейшая укротительница отправляется в путешествие по сбору мусора,"8,7"
Убей или умри: Спецвыпуски,"8,4"
"Меня выгнали из гильдии героев, потому что я был плохим компаньоном, поэтому я решил неспешно жить в глуши 2","7,3"
Досанко-гяру чудо как милы,"8,1"
Царство 5,"9,1"
Сасаки и Пи,"8,0"
Шаман Кинг: Цветы,"7,3"
Добро пожаловать в класс превосходства 3,"8,9"
Низкоуровневый персонаж Томодзаки: Вторая стадия,"7,1"
Лунное путешествие приведёт к новому миру 2,"9,0"
Плач Асуры 2,"6,6"
Клинок ведьм,"8,5"
Манускрипт ниндзя: Новая глава,"7,7"
Манускрипт ниндзя,"9,1"
Храм: Никто не может жить в одиночестве — Спецвыпуски,"8,2"
О моём перерождении в слизь: Мечта Колеуса,"8,9"
Пять невест: Спецвыпуск,"8,8"
"Хёка: То, что нужно каждому","8,5"
Хёка,"8,5"
Монстр за соседней партой OVA,"7,6"
Монстр за соседней партой,"8,2"
Баки — сын Великана 2,"8,9"
Ускоренный мир: Бесконечный всплеск,"7,3"
Дайте сверюсь с прохождением!,"6,0"
"Спокойной ночи, мир","7,9"
Девушки-пони: Славное дерби 3,"5,7"
Достучаться до тебя,"8,9"
Гипнотический микрофон: Рэп-баттл дивизионов 2,"6,7"
Поющие мальчики из Кавагоэ,"4,4"
Аркнайтс: Зимнее уединение,"8,2"
Я выживу с помощью зелий!,"7,3"
Фури-кури: Шугейз,"6,8"
Синяя тюрьма: Блю Лок против юношеской сборной Японии,"8,5"
Избрание божества,"5,0"
16-битная чувственность: Новый слой,"7,8"
Буллбастер,"5,8"
"Я прибрал к рукам девушку, которая потеряла своего жениха, и теперь я учу её всяким плохим вещам","7,7"
Плач Асуры,"7,1"
Парадокс в прямом эфире,"8,1"
Фури-кури: Гранж,"3,4"
"Сто девушек, которые очень-очень-очень-очень-очень сильно тебя любят","8,4"
Блич: Тысячелетняя кровавая война — Прощание,"9,4"
Пожарный Дайго: Спаситель в оранжевом,"7,3"
История империи Тиамун,"7,7"
Провожающая в последний путь Фрирен,"9,5"
Стальной алхимик: Завоеватель Шамбалы,"8,4"
Заботы запертой принцессы вампиров,"7,8"
Кэнган Асура 2,"8,6"
Мой новый босс глупый,"8,8"
Четверо братьев Юдзуки,"8,9"
Плутон,"9,0"
Магия вернувшегося должна быть особенной,"8,1"
Монолог фармацевта,"9,6"
Обычный мужчина средних лет и его журнал активности в VRMMO,"7,4"
Обгон!,"8,5"
Рон Камонохаси: Невменяемый детектив,"8,9"
Смертельная игра мёртвой горы. Часть 2,"8,3"
"Ханако, призрак с внеклассными историями","8,2"
Наш дождливый протокол,"7,0"
Аллель Кидзуны 2,"5,2"
Семь смертных грехов: Четыре всадника Апокалипсиса,"7,1"
Я предпочитаю злодейку,"7,6"
"Моя дочь, отправившаяся в столицу, захотев стать авантюристом, достигла S-ранга","7,6"
Всемогущая магия святой 2,"8,3"
Ненасытный Берсерк,"7,9"
Телепат звёздной пыли,"6,6"
Мой телохранитель,"7,0"
Королевство руин,"7,1"
Искушённая ты и незрелый я,"7,5"
Стесняшка,"6,5"
Мои девушки 2,"7,6"
Семейная жизнь легкомысленной ведьмы,"7,6"
Нежити не повезло,"8,9"
Асура,"7,5"
Токийские мстители: Поднебесье,"8,7"
Далёкий паладин 2,"8,5"
Рубеж Шангри-Ла: Любитель игрошлака бросает вызов топ-игре,"9,0"
Очаровательная богиня еды 3,"8,6"
Рагна Багровый,"8,2"
Восхождение героя щита 3,"8,0"
Семья шпиона 2,"8,9"
Мастер демонического клинка из академии «Святого Меча»,"7,0"
Паучонок,"7,6"
MF Призрак,"8,8"
Восхождение в тени! 2,"9,0"
Невеста чародея 2. Часть 2,"8,9"
Доктор Стоун: Новый мир. Часть 2,"9,3"
Миги и Дали,"8,7"
Не ешь сырую свинину,"6,8"
Скажи: «Я люблю тебя» OVA,"8,3"
Скажи: «Я люблю тебя»,"8,4"
Убийца гоблинов 2,"8,2"
Низкоквалифицированный ниндзя,"7,8"
Некий научный Рейлган,"8,2"
Ямада и семь ведьм,"8,3"
Становясь волшебницей,"8,8"
Усопшие: Спецвыпуски,"8,4"
Усопшие,"8,6"
Ублюдок!! Сокрушитель тьмы 2 ONA,"8,0"
"Оказывается, можно стать волшебником, если хранить девственность до 30 лет","7,8"
Клеймор,"9,1"
Принцесса-шпионка: Укротитель короны 2,"7,7"
Одинокий замок в Зазеркалье,"8,7"
Вечера с кошкой 2,"8,9"
Шпионский класс 2,"8,0"
Повелитель тьмы на подработке!! 2,"7,4"
Унеси меня на Луну: Дни старшей школы,"8,7"
Ооку: Внутренние покои,"7,8"
"Тоннель в лето, выход прощаний","9,2"
Мастера Меча Онлайн: Прогрессив — Скерцо глубокой ночи,"8,6"
Сказка о сахарном яблоке. Часть 2,"9,1"
Бродяга Кэнсин,"8,7"
Ускоренный мир EX,"7,5"
История о мононокэ 2,"8,1"
Судьба/Странная подделка: Шёпот рассвета,"8,6"
Фарс из убийства девушки-нежити,"9,0"
Маленькая сэмпай с моей работы,"7,5"
Аяка,"7,6"
Великий из бродячих псов 5,"9,2"
